Population_centroid,index_right,UID,GID_0,NAME_0,VARNAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,ISO_1,HASC_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,CC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,GID_4,NAME_4,VARNAME_4,CC_4,TYPE_4,ENGTYPE_4,VALIDFR_4,GID_5,NAME_5,CC_5,TYPE_5,ENGTYPE_5,GOVERNEDBY,SOVEREIGN,DISPUTEDBY,REGION,VARREGION,COUNTRY,CONTINENT,SUBCONT,Total_Demand_2024_centroid,Total_Demand_2030_centroid,Total_Demand_2050_centroid
29.554079618453983,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,414.3491529931384,413.6095949069955,412.52510129426946
10.034609511494637,18403,18404,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.4_1,Lunana,,ལུང་ནག་ན་,BT.GA.LN,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,140.68555019756,140.4344452164095,140.06622295870736
83.33651065081358,18403,18404,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.4_1,Lunana,,ལུང་ནག་ན་,BT.GA.LN,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,1168.3805771439752,1166.2951733310865,1163.237121289728
0.0981692123413086,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,1.376335535017842,1.373878959284996,1.3702766179119958
0.1963384246826172,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,2.752671070035684,2.747757918569992,2.7405532358239917
2.1624686874449255,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,30.31788100271283,30.26376762058497,30.184415344705272
1.8504552228748798,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,25.943442128753546,25.897136537755955,25.82923366628266
4.299193561077119,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,60.27483290237696,60.167250348528704,60.009490471819504
4.16704288482666,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,58.42207614328448,58.317800513639995,58.16488993578094
1.1419894218444826,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,16.01072866342701,15.98215164387106,15.940246084646073
